Date,RR,Rain7,RH_avg,Tavg,FRI_v2,FRI_v3_Final,Risk_Class_v3_Final,Confidence_v3_Final
2024-08-14,0.0,0.0,76.0,28.0,13.839285714285715,20.71428571428572,Low,1.0
2024-08-15,0.0,0.0,83.0,27.8,24.250000000000004,30.50000000000001,Low,1.0
2024-08-16,1.2,1.2,96.0,25.6,31.924881889763785,33.63141732283466,Medium,1.0
2024-08-17,49.7,50.900000000000006,82.0,27.7,55.63015122265122,57.185855855855856,Medium,1.0
2024-08-18,,50.900000000000006,84.0,27.7,57.40016802516802,58.506889242183355,Medium,0.85
2024-08-19,11.6,62.50000000000001,76.0,29.1,48.54924066924068,49.75275418275418,Medium,1.0
2024-08-20,3.6,66.10000000000001,88.0,25.8,58.21992277992277,51.52261261261261,Medium,1.0
2024-08-21,0.4,66.5,86.0,26.6,56.67973401973401,50.164924924924925,Medium,1.0
2024-08-22,,66.5,82.0,27.6,59.29661804661804,58.375728669846325,Medium,0.85
2024-08-23,0.0,65.3,90.0,25.7,57.68918918918917,50.265765765765764,Medium,1.0
2024-08-24,8.9,24.5,87.0,25.9,43.59776220976781,42.071933546837464,Medium,1.0
2024-08-25,0.3,24.8,83.0,26.5,36.692858286629296,34.431000800640504,Medium,1.0
2024-08-26,0.0,13.2,81.0,26.9,29.004811898512667,29.497812773403307,Low,1.0
2024-08-27,0.0,9.6,83.0,26.9,29.17016622922133,30.513560804899374,Low,1.0
2024-08-28,0.0,9.2,75.0,27.6,19.2976659167604,22.749437570303723,Low,1.0
2024-08-29,,9.2,76.0,28.7,24.89202738546569,33.440047935184566,Medium,0.85
2024-08-30,0.0,9.2,73.0,28.5,20.51790401199849,26.261342332208468,Low,1.0
2024-08-31,0.0,0.3,73.0,28.8,13.926696662917138,22.18916385451819,Low,1.0
2024-09-01,,0.0,75.0,28.9,16.55643738977072,27.497665732959852,Low,0.85
2024-09-02,15.5,15.5,80.0,29.2,37.618613298337685,44.54608486439194,Medium,1.0
2024-09-03,13.0,28.5,80.0,27.1,37.912376567921,38.34616359754471,Medium,1.0
2024-09-04,0.5,29.0,88.0,25.8,43.62087002935681,40.31127568721644,Medium,1.0
2024-09-05,,29.0,78.0,28.9,39.55713953879152,45.585160939208876,Medium,0.85
2024-09-06,0.1,29.1,80.0,28.2,38.45923538831064,40.64096477181745,Medium,1.0
2024-09-07,,29.1,73.0,29.9,36.68054372951623,44.1592115896265,Medium,0.85
2024-09-08,8.3,37.4,76.0,28.7,38.715623673542,41.79500006354289,Medium,1.0
2024-09-09,0.0,21.9,85.0,26.8,39.24526287696823,38.1050173472111,Medium,1.0
2024-09-10,4.8,13.7,82.0,27.1,33.37406824146981,35.26451443569554,Medium,1.0
2024-09-11,0.1,13.3,88.0,26.6,37.04021872265966,36.69626421697288,Medium,1.0
2024-09-12,8.2,21.5,87.0,26.1,42.47013477448625,41.42459434214038,Medium,1.0
2024-09-13,0.0,21.4,74.0,28.2,28.10462655838956,31.191095733729835,Low,1.0
2024-09-14,,21.4,81.0,27.2,37.951348733307626,40.22014997619009,Medium,0.85
2024-09-15,1.6,14.7,81.0,27.6,32.83980314960629,35.312362204724415,Medium,1.0
2024-09-16,0.4,15.1,77.0,27.5,24.86226377952754,26.687834645669287,Low,1.0
2024-09-17,0.0,10.3,84.0,26.7,30.66579177602798,31.288276465441808,Low,1.0
2024-09-18,,10.2,76.0,28.0,24.300868641419807,30.983921127506115,Low,0.85
2024-09-19,0.8,2.8000000000000003,74.0,28.4,16.195359330083733,23.471719785026867,Low,1.0
2024-09-20,,2.8000000000000003,75.0,28.8,18.851810190392865,28.98652374335561,Low,0.85
