Date,RR,Rain7,RH_avg,Tavg,FRI_v2,FRI_v3,Risk_Class_v3,Confidence_v3
2024-08-08,,31.100000000000005,82.0,27.7,45.591528778578414,50.521583933813716,Medium,0.75
2024-08-09,0.0,31.1,82.0,27.0,38.98376478960946,32.769660172582505,Low,1.0
2024-08-10,,31.1,80.0,28.1,43.2304176674673,50.9382506004804,Medium,0.75
2024-08-11,,24.1,80.0,28.6,41.08132184760153,51.96360792337574,Medium,0.75
2024-08-12,,24.1,75.0,28.4,33.332203681816694,43.59720580697362,Medium,0.75
2024-08-13,0.0,24.1,78.0,28.0,32.04263410728582,32.89631705364292,Low,1.0
2024-08-14,0.0,0.0,76.0,28.0,13.839285714285715,22.991071428571434,Low,1.0
2024-08-15,0.0,0.0,83.0,27.8,24.250000000000004,30.625000000000014,Low,1.0
2024-08-16,1.2,1.2,96.0,25.6,31.924881889763785,30.005774278215227,Low,1.0
2024-08-17,49.7,50.900000000000006,82.0,27.7,55.63015122265122,59.13007561132561,Medium,1.0
2024-08-18,,50.900000000000006,84.0,27.7,57.40016802516802,58.94010081510081,Medium,0.75
2024-08-19,11.6,62.50000000000001,76.0,29.1,48.54924066924068,49.85604890604891,Medium,1.0
2024-08-20,3.6,66.10000000000001,88.0,25.8,58.21992277992277,43.739961389961394,Medium,1.0
2024-08-21,0.4,66.5,86.0,26.6,56.67973401973401,41.71542256542257,Medium,1.0
2024-08-22,,66.5,82.0,27.6,59.29661804661804,57.91130416130418,Medium,0.75
2024-08-23,0.0,65.3,90.0,25.7,57.68918918918917,40.84459459459458,Medium,1.0
2024-08-24,8.9,24.5,87.0,25.9,43.59776220976781,38.54721443821723,Medium,1.0
2024-08-25,0.3,24.8,83.0,26.5,36.692858286629296,29.586429143314646,Low,1.0
2024-08-26,0.0,13.2,81.0,26.9,29.004811898512667,26.724628171478553,Low,1.0
2024-08-27,0.0,9.6,83.0,26.9,29.17016622922133,27.807305336832883,Low,1.0
2024-08-28,0.0,9.2,75.0,27.6,19.2976659167604,23.04169010123736,Low,1.0
