Date,RR,Rain7,RH_avg,Tavg,FRI_v2
2024-12-24,6.0,171.8,86.0,27.3,71.92583668005355
2024-12-25,1.0,147.3,87.0,26.4,67.06498346326482
2024-12-26,0.8,82.4,86.0,27.1,70.02717002717003
2024-12-27,0.8,78.9,81.0,28.3,64.30061013394347
2024-12-28,4.0,70.5,83.0,27.5,57.44145752895753
2024-12-29,8.2,57.7,84.0,27.7,56.27472007722006
2024-12-30,52.7,71.9,87.0,25.9,65.21240797940797
2024-12-31,0.7,66.60000000000001,84.0,27.4,56.05413127413127
2025-01-01,0.0,65.60000000000001,81.0,28.0,52.82738095238094
2025-01-02,18.0,83.60000000000001,82.0,28.0,63.85222007722006
2025-01-03,10.9,94.5,86.0,26.9,66.90273879833057
2025-01-04,0.0,90.5,89.0,26.6,64.92149972438774
2025-01-05,0.8,82.3,84.0,27.3,67.27537060870394
2025-01-06,0.0,29.6,83.0,27.3,40.71661773863535
2025-01-07,19.0,47.900000000000006,89.0,25.7,55.33240025740025
2025-01-08,43.5,91.4,84.0,26.4,66.08854240491377
2025-01-09,0.2,73.60000000000001,90.0,26.1,60.7730501930502
2025-01-10,14.8,77.5,86.0,26.3,62.92120978120976
2025-01-11,0.1,77.60000000000001,95.0,24.1,63.47838481338481
2025-01-12,10.0,87.60000000000001,97.0,24.0,70.05578195133475
2025-01-13,24.7,112.3,90.0,25.1,69.85955823293172
2025-01-14,0.8,93.3,92.0,25.5,73.16750662781845
2025-01-15,72.6,122.4,91.0,25.7,75.01506189463737
2025-01-16,0.8,122.2,92.0,25.6,75.15657400845211
2025-01-17,52.6,160.0,87.0,26.0,74.18570918969998
2025-01-18,24.2,184.1,95.0,25.0,77.09171627687219
2025-01-19,26.1,200.2,89.0,26.0,75.31591188282542
2025-01-20,1.4,176.9,88.0,26.3,69.51481927710843
2025-01-21,0.0,176.9,83.0,26.8,64.20481927710844
2025-01-22,0.0,104.3,90.0,25.9,65.58374675171274
2025-01-23,3.2,107.5,88.0,26.5,66.302738010867
2025-01-24,0.0,54.90000000000001,84.0,27.1,51.176319176319176
2025-01-25,82.4,113.10000000000002,93.0,25.5,75.94113938105363
2025-01-26,67.8,154.8,87.0,26.3,74.7365983935743
2025-01-27,0.8,153.4,92.0,25.6,77.20397931595664
2025-01-28,30.1,183.50000000000003,97.0,23.8,77.89628041578078
2025-01-29,7.2,190.7,88.0,25.3,71.22984408221119
2025-01-30,0.0,187.50000000000003,84.0,25.4,64.58085282305693
2025-01-31,7.0,194.50000000000003,84.0,26.2,67.92760453579022
2025-02-01,16.0,128.10000000000002,80.0,26.4,58.9977025750059
2025-02-02,0.0,60.30000000000001,81.0,27.8,50.49710424710425
2025-02-03,0.3,60.600000000000016,78.0,28.2,46.338629343629336
2025-02-04,5.0,35.500000000000014,76.0,27.4,34.32057074230813
2025-02-05,0.0,28.30000000000001,84.0,26.2,39.22397918334667
2025-02-06,2.5,30.80000000000001,82.0,26.3,38.308113157192416
2025-02-07,0.0,23.80000000000001,79.0,26.8,30.25587136375767
2025-02-08,0.2,8.000000000000014,86.0,25.5,30.545879265091862
2025-02-09,3.5,11.500000000000014,83.0,26.2,30.705118110236217
2025-02-10,1.2,12.400000000000013,82.0,26.1,28.91044619422572
2025-02-11,0.0,7.400000000000015,75.0,27.1,16.42200974878141
2025-02-12,0.0,7.400000000000015,78.0,27.7,21.13927165354331
2025-02-13,0.0,4.900000000000015,82.0,27.8,26.608267716535444
2025-02-14,0.0,4.900000000000015,86.0,27.1,30.524934383202112
2025-02-15,28.0,32.70000000000002,81.0,27.3,43.75761053287074
2025-02-16,17.6,46.80000000000001,85.0,27.1,53.72657058980517
2025-02-17,0.0,45.60000000000001,84.0,26.8,47.23285294902589
2025-02-18,17.0,62.60000000000001,85.0,26.8,57.92046332046331
2025-02-19,50.0,112.6,91.0,24.7,72.6989428301441
2025-02-20,0.8,112.6,81.0,27.6,66.33215870016012
2025-02-21,0.8,112.6,83.0,27.2,68.35376363843172
2025-02-22,1.2,85.80000000000001,88.0,26.4,64.09840411840412
2025-02-23,14.4,82.60000000000001,93.0,25.4,68.13380308880308
2025-02-24,110.2,192.8,91.0,25.1,80.76886959603118
2025-02-25,11.8,187.6,88.0,26.2,72.41009213323883
2025-02-26,0.8,137.60000000000002,92.0,25.8,76.35233745439274
2025-02-27,115.8,253.4,94.0,25.5,86.55622489959838
2025-02-28,43.6,297.0,89.0,26.1,82.86623080557523
2025-03-01,1.8,297.6,85.0,27.6,77.34500000000001
2025-03-02,0.3,283.5,80.0,28.4,70.1900350421293
2025-03-03,0.0,173.29999999999998,83.0,27.8,66.90887077722657
2025-03-04,0.8,161.5,89.0,26.7,77.10280118294529
2025-03-05,4.1,165.60000000000002,86.0,27.1,70.51077722655329
2025-03-06,26.2,76.00000000000001,87.0,26.1,64.21025096525096
2025-03-07,0.2,32.600000000000016,82.0,27.9,42.33785628502802
2025-03-08,1.8,32.60000000000001,81.0,28.0,41.79035628502802
2025-03-09,10.3,42.600000000000016,87.0,25.9,51.03022551374432
2025-03-10,5.3,47.90000000000001,84.0,27.9,53.359900257400255
2025-03-11,0.0,47.90000000000001,89.0,26.5,52.132400257400256
2025-03-12,5.7,49.500000000000014,91.0,26.2,55.740534105534095
2025-03-13,15.3,38.600000000000016,84.0,27.6,50.09561115559115
2025-03-14,27.1,65.50000000000001,94.0,25.5,64.79687258687258
2025-03-15,2.4,66.10000000000002,82.0,27.6,54.19825611325612
2025-03-16,0.8,55.800000000000026,84.0,28.5,61.350993850993845
2025-03-17,22.9,73.4,87.0,26.2,63.12703346203345
2025-03-18,0.4,73.80000000000001,81.0,27.6,54.37573359073359
2025-03-19,0.0,68.10000000000001,86.0,26.6,57.03453453453453
2025-03-20,4.7,57.500000000000014,91.0,24.6,56.76787001287002
2025-03-21,0.2,30.60000000000001,88.0,25.4,43.80804910595143
